crash_free_rate_user,crash_free_rate_session,release_version,created_at
99.868,99.088,140.0,2025-06-04 16:20:31.284986
99.869,99.514,139.1,2025-06-04 16:20:33.289116
99.89,99.474,139.0,2025-06-04 16:20:37.184725
