sentry_id,shareId,shortId,title,culprit,permalink,logger,level,status,substatus,isPublic,platform,type,numComments,assignedTo,isBookmarked,isSubscribed,subscriptionDetails,hasSeen,annotations,issueType,issueCategory,priority,priorityLockedAt,isUnhandled,count,userCount,firstSeen,lastSeen,filtered,project.id,project.name,project.slug,project.platform,metadata.value,metadata.type,metadata.filename,metadata.function,metadata.in_app_frame_mix,metadata.sdk.name,metadata.sdk.name_normalized,metadata.initial_priority,metadata.title,stats.24h,lifetime.count,lifetime.userCount,lifetime.firstSeen,lifetime.lastSeen,lifetime.stats,metadata.seer_similarity.similarity_model_version,metadata.seer_similarity.request_hash
6523830002,,FIREFOX-IOS-2HCH,"EXC_BAD_ACCESS: Exception 1, Code 1, Subcode 0 >",closure in TabScrollingController.animateToolbarsWithOffsets,https://mozilla.sentry.io/issues/6523830002/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,1,1,2025-04-07T06:04:46Z,2025-04-07T06:04:46Z,,6176941,firefox-ios,firefox-ios,apple-ios,"Exception 1, Code 1, Subcode 0 >
Attempted to dereference null pointer.",EXC_BAD_ACCESS,TabScrollController.swift,closure in TabScrollingController.animateToolbarsWithOffsets,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 0], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 0], [1743994800, 0], [1743998400, 0], [1744002000, 0], [1744005600, 1], [1744009200, 0], [1744012800, 0], [1744016400, 0], [1744020000, 0], [1744023600, 0], [1744027200, 0], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 0], [1744045200, 0], [1744048800, 0]]",1,1,2025-04-07T06:04:46Z,2025-04-07T06:04:46Z,,,
6523826008,,FIREFOX-IOS-2HCG,EXC_BAD_ACCESS: %22performance%22%3Atrue%2C%22createdAt%22%3A%222024-10-28T19%3A11%3A04%2B00%3A00%22%2C%22updatedAt%22%3A%222024-10-28T19%3A11%3A04%2B00%3A00%22%7D > 912BB647-BD93-4E24-B919-0FF3BBC46A24-17 >,nw_protocol_error,https://mozilla.sentry.io/issues/6523826008/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,1,1,2025-04-07T06:03:47Z,2025-04-07T06:03:47Z,,6176941,firefox-ios,firefox-ios,apple-ios,"%22performance%22%3Atrue%2C%22createdAt%22%3A%222024-10-28T19%3A11%3A04%2B00%3A00%22%2C%22updatedAt%22%3A%222024-10-28T19%3A11%3A04%2B00%3A00%22%7D > 912BB647-BD93-4E24-B919-0FF3BBC46A24-17 >
KERN_INVALID_ADDRESS at 0x726332322543325d.",EXC_BAD_ACCESS,,nw_protocol_error,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 0], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 0], [1743994800, 0], [1743998400, 0], [1744002000, 0], [1744005600, 1], [1744009200, 0], [1744012800, 0], [1744016400, 0], [1744020000, 0], [1744023600, 0], [1744027200, 0], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 0], [1744045200, 0], [1744048800, 0]]",1,1,2025-04-07T06:03:47Z,2025-04-07T06:03:47Z,,,
6523788631,,FIREFOX-IOS-2HCF,"EXC_BAD_ACCESS: Exception 1, Code 1, Subcode 13648913881134195021 >",pcache1RemoveFromHash,https://mozilla.sentry.io/issues/6523788631/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,1,1,2025-04-07T05:53:46Z,2025-04-07T05:53:46Z,,6176941,firefox-ios,firefox-ios,apple-ios,"Exception 1, Code 1, Subcode 13648913881134195021 >
KERN_INVALID_ADDRESS at 0xbd6aaedc1ee6e14d.",EXC_BAD_ACCESS,sqlite3.c,pcache1RemoveFromHash,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 0], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 0], [1743994800, 0], [1743998400, 0], [1744002000, 1], [1744005600, 0], [1744009200, 0], [1744012800, 0], [1744016400, 0], [1744020000, 0], [1744023600, 0], [1744027200, 0], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 0], [1744045200, 0], [1744048800, 0]]",1,1,2025-04-07T05:53:46Z,2025-04-07T05:53:46Z,,,
6523749922,,FIREFOX-IOS-2HCE,"EXC_BREAKPOINT: Exception 6, Code 1, Subcode 6573975056",TopSitesDataAdaptorImplementation.recalculateTopSiteData,https://mozilla.sentry.io/issues/6523749922/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,1,1,2025-04-07T05:42:51Z,2025-04-07T05:42:51Z,,6176941,firefox-ios,firefox-ios,apple-ios,"Exception 6, Code 1, Subcode 6573975056",EXC_BREAKPOINT,<compiler-generated>,TopSitesDataAdaptorImplementation.recalculateTopSiteData,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 0], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 0], [1743994800, 0], [1743998400, 0], [1744002000, 1], [1744005600, 0], [1744009200, 0], [1744012800, 0], [1744016400, 0], [1744020000, 0], [1744023600, 0], [1744027200, 0], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 0], [1744045200, 0], [1744048800, 0]]",1,1,2025-04-07T05:42:51Z,2025-04-07T05:42:51Z,,,
6523624742,,FIREFOX-IOS-2HCD,EXC_BAD_ACCESS: s-monitor >,quic_frame_write_STOP_SENDING,https://mozilla.sentry.io/issues/6523624742/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,1,1,2025-04-07T05:08:45Z,2025-04-07T05:08:45Z,,6176941,firefox-ios,firefox-ios,apple-ios,"s-monitor >
KERN_INVALID_ADDRESS at 0x15006c9d8.",EXC_BAD_ACCESS,,quic_frame_write_STOP_SENDING,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 0], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 0], [1743994800, 0], [1743998400, 0], [1744002000, 1], [1744005600, 0], [1744009200, 0], [1744012800, 0], [1744016400, 0], [1744020000, 0], [1744023600, 0], [1744027200, 0], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 0], [1744045200, 0], [1744048800, 0]]",1,1,2025-04-07T05:08:45Z,2025-04-07T05:08:45Z,,,
6523624678,,FIREFOX-IOS-2HCC,NSInternalInconsistencyException: Memory exhaustion. Attempted to allocate storage for 4294967296 bits.,UIView.pinToSuperview,https://mozilla.sentry.io/issues/6523624678/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,1,1,2025-04-07T05:08:44Z,2025-04-07T05:08:44Z,,6176941,firefox-ios,firefox-ios,apple-ios,Memory exhaustion. Attempted to allocate storage for 4294967296 bits.,NSInternalInconsistencyException,UIViewExtension.swift,UIView.pinToSuperview,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 0], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 0], [1743994800, 0], [1743998400, 0], [1744002000, 1], [1744005600, 0], [1744009200, 0], [1744012800, 0], [1744016400, 0], [1744020000, 0], [1744023600, 0], [1744027200, 0], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 0], [1744045200, 0], [1744048800, 0]]",1,1,2025-04-07T05:08:44Z,2025-04-07T05:08:44Z,,,
6523434145,,FIREFOX-IOS-2HCB,EXC_BREAKPOINT: -- %s > wAccessibility,sqlite3MemRealloc,https://mozilla.sentry.io/issues/6523434145/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,1,1,2025-04-06T20:57:52Z,2025-04-06T20:57:52Z,,6176941,firefox-ios,firefox-ios,apple-ios,-- %s > wAccessibility,EXC_BREAKPOINT,sqlite3.c,sqlite3MemRealloc,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 1], [1743973200, 0], [1743976800, 0], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 0], [1743994800, 0], [1743998400, 0], [1744002000, 0], [1744005600, 0], [1744009200, 0], [1744012800, 0], [1744016400, 0], [1744020000, 0], [1744023600, 0], [1744027200, 0], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 0], [1744045200, 0], [1744048800, 0]]",1,1,2025-04-06T20:57:52Z,2025-04-06T20:57:52Z,,,
6523388957,,FIREFOX-IOS-2HCA,"EXC_BAD_ACCESS: Exception 1, Code 1, Subcode 60 >",pcache1RemoveFromHash,https://mozilla.sentry.io/issues/6523388957/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,1,1,2025-04-07T04:00:59Z,2025-04-07T04:00:59Z,,6176941,firefox-ios,firefox-ios,apple-ios,"Exception 1, Code 1, Subcode 60 >
KERN_INVALID_ADDRESS at 0x3c.",EXC_BAD_ACCESS,sqlite3.c,pcache1RemoveFromHash,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 0], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 0], [1743994800, 0], [1743998400, 1], [1744002000, 0], [1744005600, 0], [1744009200, 0], [1744012800, 0], [1744016400, 0], [1744020000, 0], [1744023600, 0], [1744027200, 0], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 0], [1744045200, 0], [1744048800, 0]]",1,1,2025-04-07T04:00:59Z,2025-04-07T04:00:59Z,,,
6523282250,,FIREFOX-IOS-2HC9,"EXC_BAD_ACCESS: Exception 1, Code 1, Subcode 12 >",TabDisplayPanelViewController.removeTabPanel,https://mozilla.sentry.io/issues/6523282250/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,1,1,2025-04-07T03:30:03Z,2025-04-07T03:30:03Z,,6176941,firefox-ios,firefox-ios,apple-ios,"Exception 1, Code 1, Subcode 12 >
KERN_INVALID_ADDRESS at 0xc.",EXC_BAD_ACCESS,TabDisplayPanelViewController.swift,TabDisplayPanelViewController.removeTabPanel,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 0], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 0], [1743994800, 1], [1743998400, 0], [1744002000, 0], [1744005600, 0], [1744009200, 0], [1744012800, 0], [1744016400, 0], [1744020000, 0], [1744023600, 0], [1744027200, 0], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 0], [1744045200, 0], [1744048800, 0]]",1,1,2025-04-07T03:30:03Z,2025-04-07T03:30:03Z,,,
6523033914,,FIREFOX-IOS-2HC8,"EXC_BAD_ACCESS: Exception 1, Code 1, Subcode 8 >",WebviewViewController.setupWebView,https://mozilla.sentry.io/issues/6523033914/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,1,1,2025-04-07T02:11:31Z,2025-04-07T02:11:31Z,,6176941,firefox-ios,firefox-ios,apple-ios,"Exception 1, Code 1, Subcode 8 >
KERN_INVALID_ADDRESS at 0x8.",EXC_BAD_ACCESS,WebviewViewController.swift,WebviewViewController.setupWebView,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 0], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 1], [1743994800, 0], [1743998400, 0], [1744002000, 0], [1744005600, 0], [1744009200, 0], [1744012800, 0], [1744016400, 0], [1744020000, 0], [1744023600, 0], [1744027200, 0], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 0], [1744045200, 0], [1744048800, 0]]",1,1,2025-04-07T02:11:31Z,2025-04-07T02:11:31Z,,,
